index;symbol;code;file;width;height;mass;q1_mass;q2_mass;q3_mass;q4_mass;q1_density;q2_density;q3_density;q4_density;cx;cy;cx_norm;cy_norm;mx;my;mx_norm;my_norm
1;А;U+0410;01_U0410.png;40;37;312;66;56;80;110;0.18333333333333332;0.15555555555555556;0.21052631578947367;0.2894736842105263;19.09294871794872;19.798076923076923;0.48956278763971073;0.5499465811965812;26426.278846153844;20218.304487179485;0.06186969443856138;0.0405014112323307
2;Б;U+0411;02_U0411.png;32;37;377;119;55;100;103;0.4131944444444444;0.1909722222222222;0.32894736842105265;0.33881578947368424;14.106100795755967;17.679045092838198;0.4550355095405151;0.4910845859121722;43902.164456233426;20397.75596816976;0.08506308590605823;0.05283735693014796
3;В;U+0412;03_U0412.png;35;37;453;123;115;102;113;0.4019607843137255;0.3549382716049383;0.3157894736842105;0.3304093567251462;16.81898454746137;16.867549668874172;0.49467601610180495;0.4685430463576159;49602.052980132445;34989.15673289183;0.07998305748404427;0.06305204619163281
4;Г;U+0413;04_U0413.png;32;37;250;110;42;98;0;0.3819444444444444;0.14583333333333334;0.3223684210526316;0.0;10.664;13.904;0.344;0.38622222222222224;33479.696;10629.776;0.09782234039444851;0.0415225625
5;Д;U+0414;05_U0414.png;38;47;470;79;155;109;127;0.18077803203661327;0.35469107551487417;0.23903508771929824;0.27850877192982454;19.751063829787235;20.882978723404257;0.5338125359401955;0.45397779833487517;78874.56382978722;45663.87446808511;0.07597022223378945;0.06728336545659974
6;Е;U+0415;06_U0415.png;34;37;338;122;65;101;50;0.39869281045751637;0.21241830065359477;0.3126934984520124;0.15479876160990713;13.618343195266272;16.701183431952664;0.41267706652322034;0.4639217619986851;43764.81952662721;19607.76627218935;0.09458123782017541;0.050182649495785686
7;Ж;U+0416;07_U0416.png;50;37;561;168;110;167;116;0.37333333333333335;0.24444444444444444;0.35157894736842105;0.24421052631578946;22.77540106951872;16.90374331550802;0.4648041034595657;0.46954842543077835;67754.80213903743;68121.70053475935;0.08822136477441987;0.0485716224846769
8;Ѕ;U+0405;08_U0405.png;30;37;322;111;57;56;98;0.4111111111111111;0.2111111111111111;0.19649122807017544;0.34385964912280703;13.77639751552795;16.9472049689441;0.475048190190619;0.47075569358178054;34320.10248447205;15681.900621118011;0.07785549248096052;0.05411283858218775
9;З;U+0417;09_U0417.png;27;37;289;57;105;28;99;0.24358974358974358;0.4166666666666667;0.11336032388663968;0.37218045112781956;14.809688581314878;15.858131487889274;0.5696034069736492;0.44050365244136874;34587.183391003455;10646.532871972318;0.08742062473556445;0.050533901357845835
10;И;U+0418;10_U0418.png;40;37;462;114;129;120;99;0.31666666666666665;0.35833333333333334;0.3157894736842105;0.26052631578947366;18.4004329004329;16.506493506493506;0.4718059718059718;0.4585137085137085;52567.48051948052;48328.919913419915;0.08311353204298098;0.06538003235040572
11;I;U+0049;11_U0049.png;20;37;200;79;26;71;24;0.4388888888888889;0.14444444444444443;0.3736842105263158;0.12631578947368421;8.03;16.5;0.4226315789473684;0.4583333333333333;24150.0;997.82;0.08820306793279767;0.012472750000000001
12;К;U+041A;12_U041A.png;38;37;401;132;66;120;83;0.38596491228070173;0.19298245614035087;0.33240997229916897;0.2299168975069252;15.002493765586035;16.905236907730675;0.40547280447529827;0.4695899141036299;47496.39900249377;27500.997506234417;0.08651927340613726;0.047493795819030016
13;Л;U+041B;13_U041B.png;38;37;379;71;125;73;110;0.20760233918128654;0.3654970760233918;0.20221606648199447;0.3047091412742382;20.100263852242744;16.65963060686016;0.5432503743849391;0.4627675168572266;47557.09234828496;28470.189973614775;0.09165847680410168;0.05202163071944462
14;М;U+041C;14_U041C.png;49;37;536;139;142;131;124;0.32175925925925924;0.31555555555555553;0.28728070175438597;0.26105263157894737;23.567164179104477;16.70149253731343;0.4909825870646766;0.46393034825870644;54094.23880597015;84303.58208955223;0.07371956707419369;0.06550720633314495
15;Н;U+041D;15_U041D.png;40;37;460;124;132;96;108;0.34444444444444444;0.36666666666666664;0.25263157894736843;0.28421052631578947;18.839130434782607;16.5;0.4830546265328874;0.4583333333333333;50499.0;48550.09565217391;0.08019023724076603;0.0659648038752363
16;О;U+041E;16_U041E.png;39;37;395;106;107;92;90;0.30994152046783624;0.2972222222222222;0.2548476454293629;0.23684210526315788;18.232911392405065;16.308860759493673;0.4798134576948701;0.45302390998593534;37544.31898734177;51734.57215189874;0.06942944399467739;0.08611019091686639
17;П;U+041F;17_U041F.png;40;37;425;118;111;98;98;0.3277777777777778;0.30833333333333335;0.2578947368421053;0.2578947368421053;18.348235294117647;15.99529411764706;0.47046757164404224;0.4443137254901961;54131.99058823529;47234.461176470584;0.09303826853132005;0.06946244290657438
18;Р;U+0420;18_U0420.png;31;37;334;112;116;99;7;0.4148148148148148;0.4027777777777778;0.3473684210526316;0.023026315789473683;12.961077844311378;13.68562874251497;0.4320359281437126;0.38015635395874914;32967.99101796407;15666.494011976049;0.07210121251572255;0.048809230691507874
19;С;U+0421;19_U0421.png;36;37;288;102;52;100;34;0.3148148148148148;0.16049382716049382;0.29239766081871343;0.09941520467836257;13.121527777777779;16.15277777777778;0.37490079365079365;0.4486882716049383;36119.27777777778;24824.74652777778;0.091610050365681;0.06651005907004935
